benchmark,faults_evaluated,baseline_detected,guided_detected,baseline_sat_time_s,guided_sat_time_s,baseline_avg_decisions,guided_avg_decisions,baseline_avg_conflicts,guided_avg_conflicts,guided_fallback_count,avg_unsat_core_size,guided_invocations,guided_skipped,hard_conflicts,hard_decisions,max_assumptions
c432.v,392.0,389.0,389.0,0.23170161247253418,0.17586874961853027,538.6530612244898,376.01020408163265,125.83928571428571,90.72193877551021,9.0,0.03826530612244898,177.0,215.0,100.0,800.0,4.0
c499.v,486.0,486.0,486.0,1.5558710098266602,1.0777149200439453,1921.8189300411523,1430.7448559670781,710.8086419753087,519.6543209876543,0.0,0.0,342.0,144.0,100.0,800.0,4.0
c880.v,886.0,886.0,886.0,1.5766489505767822,1.3264994621276855,1098.6083521444696,893.4582392776524,254.2957110609481,221.19300225733633,77.0,0.22686230248307,614.0,272.0,100.0,800.0,4.0
c1355.v,1174.0,1174.0,1174.0,4.1381635665893555,3.4780433177948,1486.3960817717207,1391.6695059625213,439.89097103918226,398.07666098807493,7.0,0.018739352640545145,814.0,360.0,100.0,800.0,4.0
c3540.v,100.0,100.0,100.0,3.3197343349456787,9.278342008590698,3952.47,8624.34,1897.34,4957.69,44.0,0.86,66.0,34.0,100.0,800.0,4.0
c6288.v,100.0,100.0,100.0,1.3353188037872314,1.1555957794189453,5047.55,6234.47,754.02,529.98,0.0,0.0,99.0,1.0,100.0,800.0,4.0
s298.v,284.0,284.0,284.0,0.005644559860229492,0.005644559860229492,48.29577464788732,48.29577464788732,1.517605633802817,1.517605633802817,0.0,0.0,0.0,284.0,100.0,800.0,4.0
s344.v,380.0,380.0,380.0,0.0076906681060791016,0.0076906681060791016,53.55,53.55,1.8421052631578947,1.8421052631578947,0.0,0.0,0.0,380.0,100.0,800.0,4.0
